location_id,county,city,state,zip_code
726,Pacific,Seaview,WA,98631
727,Pierce,Prairie Ridge,WA,98391
728,Stevens,Wellpinit,WA,99040
729,Ferry,Keller,WA,99140
730,Spokane,Chattaroy,WA,99005
731,Pacific,Smith Creek,WA,98577
732,Douglas,Coulee Dam,WA,99116
733,Stevens,Tumtum,WA,99034
734,Kitsap,Bangor Base,WA,98315
735,Snohomish,Index,WA,98256
736,Okanogan,Mazama,WA,98862
737,Snohomish,Marysville,WA,98292
738,Clallam,Forks,WA,98305
739,Adams,Washtucna,WA,99371
740,Benton,Richland,WA,99338
741,Snohomish,Index,WA,98294
742,Lincoln,Creston,WA,99117
743,Benton,Plymouth,WA,99346
744,San Juan,Deer Harbor,WA,98243
745,San Juan,Orcas,WA,98280
746,Whitman,Lacrosse,WA,99143
747,Spokane,Greenacres,WA,99023
748,Whitman,Colton,WA,99113
749,Pierce,Home,WA,98349
750,Spokane,Spokane,WA,99004
751,Benton,Pros,WA,99350
752,San Juan,Orcas Is,WA,98279
753,Lewis,Onalaska,WA,98532
754,Kittitas,Vantage,WA,98950
755,Snohomish,Bothell,WA,98072
756,Spokane,Medical Lake,WA,99004
757,Spokane,Spokane Valley,WA,99223
758,Snohomish,Alderwood Manor,WA,98036
759,Pierce,Tacoma,WA,98416
760,Douglas,Grand Coulee,WA,99133
761,Lewis,Chehalis,WA,98542
762,Whitman,Oakesdale,WA,99158
763,Klickitat,Centerville,WA,98613
764,Pacific,Bay Center,WA,98586
765,Yakima,Zillah,WA,98951
766,Klickitat,Klickitat,WA,98635
767,King,Auburn,WA,98042
768,Pacific,North Cove,WA,98547
769,Spokane,Medical Lake,WA,99224
770,Douglas,Bridgeport,WA,98813
771,Kitsap,Belfair,WA,98528
772,Yakima,Naches,WA,98942
773,Lincoln,Almira,WA,99103
774,Spokane,Spokane,WA,99037
775,Kittitas,Roslyn,WA,98940
776,Pierce,Incorporated,WA,98466
777,Pierce,Incorporated,WA,98499
778,King,Newcastle,WA,98006
779,King,Preston,WA,98050
780,Franklin,Pasc,WA,99301
781,Skagit,Marblemount,WA,98267
782,Thurston,Lacey,WA,98506
783,Klickitat,Roosevelt,WA,98620
784,Snohomish,Startup,WA,98294
785,Klickitat,White Salmon,WA,98635
786,Klickitat,Glenwood,WA,98619
787,San Juan,Orcas Is,WA,98243
788,Lewis,Adna,WA,98522
789,Yakima,Zillah,WA,98932
790,Okanogan,Carlton,WA,98834
791,Chelan,Leavenworth,WA,98847
792,Klickitat,Maryhill,WA,98620
